,0
0,"Since new evidence regarding the impact of Wendler glottoplasty (WG) on the voice in transgender women became available in the literature in recent years, we aimed to perform an updated systematic review and meta-analysis to determine the actual safety and efficacy of WG in the process of vocal feminization."
1,"Patients with gender dysphoria face significant health disparities and barriers to care. Transition-related care includes hormonal therapy, mental healthcare, and gender-affirming surgeries. Studies have described favorable surgical outcomes and patient satisfaction, however, the degree to which these procedures impact mental health conditions is not fully understood. The purpose of this study was to evaluate the effect of gender-affirming plastic surgery on mental health and substance abuse in the transgender population."
2,"For diagnosis of osteoporosis, a -score of ≤-2.5 is recommended for all transgender and gender-diverse patients aged 50 years or older, regardless of hormonal status. This case series presents 3 transgender individuals younger than 50 years undergoing gender-affirming hormone therapy (GAHT) who had DXA scores suggestive of osteoporosis. We highlight possible discrepancies in DXA scan interpretations, especially in forearm bone mineral density measurements. We present the baseline (prior to beginning GAHT), 6-month, and 1-year follow-up DXA data along with pertinent labs to include 25-OH vitamin D, calcium, and alkaline phosphatase, for 2 transgender males (assigned female at birth) and 1 transgender female (assigned male at birth) undergoing GAHT who had low -scores and -scores suggestive of osteoporosis. Multiple studies have analyzed the BMD data of individuals taking GAHT over time, which identify possible causes for low baseline -scores for transgender females, but less so for transgender males. Other than positional statements, guidelines remain unclear regarding diagnostic approaches to osteoporosis and low -scores in transgender individuals who are premenopausal or under 50 years of age. This case series addresses discrepancies in interpretation that may be encountered by clinicians with baseline and follow-up DXAs, especially involving the forearm, during the course of GAHT. This highlights the importance of establishing clearer guidelines for the diagnosis and treatment of osteoporosis and low BMD for chronological age in the transgender population."
3,"Injectable neurotoxins and fillers are potential options for facial gender affirmation for transgender/nonbinary patients. However, the largest barrier to access is cost/insurance coverage."
4,"Transgender women are disproportionately affected by HIV and are underutilizing preexposure prophylaxis (PrEP). The lower uptake of PrEP by transgender women may be, in part, owing to the perception that taking PrEP may lower the efficacy of gender-affirming hormone therapy (GAHT) or to provider concerns that GAHT may lower the efficacy of PrEP."
5,"Tucking is the gender-affirming practice of putting the penis and scrotum between the buttocks and moving the testes up into the inguinal canals. Our study explores tucking and health effects among transfeminine adults (=79). Most (74.7%) had practiced tucking and among them, 67.2% had tucked ≥7 years. When tucking, the majority (84.5%) tucked daily and almost half (44.8%) ≥17 h/day. Half (50.0%) reported concern about the health effects of tucking. Itching, rash, and testicular pain were the most commonly reported health effects. Health care providers should use a harm reduction approach in addressing tucking-related concerns and supporting patients who tuck."
6,"Parental support is associated with improved mental health outcomes for gender diverse youth (GDY). Parents often seek guidance from pediatric providers, but few studies explore what actions make GDY feel supported. Using a qualitative analysis of open-ended survey responses, we aimed to identify ways in which GDY want to be supported by their parents or caregivers. Nine key themes were identified, including using affirming language at home and other settings as desired by GDY, seeking education, and aiding in accessing affirming items and care. Findings from this study can help pediatric medical and mental health providers help parents to support their GDY."
7,The purpose of this study was to identify health care transition (HCT) readiness and skills among transgender youth transitioning gender-affirming care from pediatric to adult providers.
8,Gender-affirming hormones (hormones)-the use of sex hormones to induce desired secondary sex characteristics in transgender and nonbinary (TGNB) individuals-are vital health care for many TGNB people. Some hormone providers require a letter from a mental health provider before hormone initiation. We explore the perspectives of TGNB individuals regarding the impact of the letter requirement on their experience of care.
9,"The transgender community utilizes online platforms to view and share postoperative masculinizing top surgery photographs. However, the quantitative and qualitative nature of these photographs is unknown. We aimed to conduct an analysis of postoperative online photographs for nipple-areolar complex (NAC) shape and location, and compare social media platforms to World Professional Association for Transgender Health (WPATH) surgeons' websites and published cis-male chest proportions."
10,Little is known about the prevalence and risks associated with transgender and gender diverse (TGD) persons' misuse of prescription pain relievers (PPRs). This study explores the relationship between PPR misuse and various sociodemographic identities and experiences of discrimination in health care among TGD adults.
11,"The sociopolitical context in which transgender and gender-diverse (TGD) people live has significant effects on mental health. We examined whether perceptions of context (TGD people's perceptions of how TGD people were viewed) differed across four United States (U.S.) states and associations with mental health and identity pride, the mediational effects of minority stressors, and potential buffering effects of resilience."
12,"Resilience is often viewed as the ability to bounce back from challenges. This conceptualization tends to be individualistic and can be less fitting for marginalized communities. Research with transgender and gender-diverse (TGD) individuals has shown that resilience can manifest in various ways, such as developing pride in one's identity, connection to a TGD community, or advocating against oppression. Given these conflicting views, we sought to (1) describe common themes in TGD people's experience of resilience by pooling information from qualitative research; and (2) evaluate how well quantitative measures of resilience reflected the ways that TGD people define resilience in qualitative research. We reviewed articles published from January 2010 to January 2020. Our search for research on resilience in TGD samples revealed 33 quantitative articles and 17 qualitative articles. We developed a codebook from the qualitative articles by retrieving information about themes from these past studies (e.g., developing motivation and agency, pride or positive self-image). We also reviewed the quantitative studies and retrieved the measures used to assess resilience, followed by coding these scales to understand whether the themes from the qualitative data were reflected in the quantitative measures of resilience. Overall, themes related to social support were common across the measures. However, other themes were not reflected in any measures, such as self-definition of gender, hope, and self-advocacy. Our research demonstrates the discrepancy between qualitative research on TGD resilience and quantitative measurement of resilience. Measure development that more fully reflects TGD people's experiences is key to advancing this research."
13,Transgender girls' right to participate in high school sports has been attacked by legislation banning them from doing so. This study uses open-ended survey responses among transgender high school girls to examine reasons that they choose to participate or not participate in sports.
14,"Transgender and gender diverse (TGD) individuals continue to face adversity, stigma, and inequality, especially in health care. This study aimed to characterize the experience of TGD people and partners of TGD people with regard to fertility treatment."
15,"Stigma is a fundamental driver of HIV disparities among transgender women (TW). The gender minority stress and resilience (GMSR) measure has not been validated in Spanish-speaking, resource-limited settings. We examined the psychometric properties of a translated and abbreviated GMSR among TW in Tijuana, Mexico."
