,Author,Title,Headline,Label
0,Kiara Alfonseca Lilia Geho,Ohio House votes to override governor s veto on trans care sports ban,The Ohio House has voted to override Gov Mike DeWine s veto a ban on gender affirming medical care for minors and transgender girls sports ban,TransYouth
1,Kiara Alfonseca Lilia Geho,Ohio Senate overrides governor veto of trans care sports ban HB,The Ohio Senate voted to override Gov Mike DeWine s veto against Ohio House Bill which restricts transgender medical care and transgender participation in sports,TransYouth
2,By ANDREW DeMILLO and HANNAH SCHOENBAUM AP,Efforts to Restrict Transgender Health Care Endure in,Republican led state legislatures are considering a new round of bills restricting medical care for transgender youths and in some cases adults,TransYouth
3,AMY BETH HANSON AP,Utah Joins Other States in Regulating Bathroom Access for Transgender People,Utah became the latest state to regulate bathroom access for transgender people after Republican Gov Spencer Cox signed a law Tuesday,TransYouth
4,Nilay Patel,Why Sen Brian Schatz thinks child safety bills should trump the First Amendment,The Democratic senator from Hawaii explains why KOSA won t lead to harmful speech restrictions,TransYouth
5,PAT EATON ROBB AP,Transgender Veterans Sue to Have Gender Affirming Surgery Covered by Department of Veteran Affairs,Transgender veterans filed a lawsuit seeking to force the Department of Veteran Affairs to provide and pay for gender affirming surgeries,TransYouth
6,https www facebook com bbcnews,Killer was moved to Brianna Ghey s school after spiking younger girl,Scarlett Jenkinson was moved after drugging a younger pupil with a cannabis sweet BBC News finds,TransYouth
7,Chad de Guzman,Pope Francis Calls Surrogate Motherhood Deplorable Calls for Global Ban,The Catholic leader s stance on surrogacy is likely to roil the LGBT community of which many members have relied on the practice to have their own children,TransYouth
8,None,Stop KOSA Kids Online Safety Act,KOSA is a censorship bill that won t make kids safe Instead it ll put all internet users at risk especially youth If you believe in a free and open internet tell your lawmakers to reject KOSA,TransYouth
9,Ian Millhiser,The Supreme Court is running away from transgender rights cases,For the third time in the last year the Supreme Court turned away an opportunity to make life much worse for trans youth,TransYouth
10,Ben Hunte chloe angyal,Children Are Too Scared to Go to School Because of Transphobic Bullying,The UK government s recent guidance for schools which encourages staff to misgender and out trans students has trans kids and their parents more worried than ever,TransYouth
11,None,Danielle Smith bids to transcend politics with Canada s toughest trans youth rules,Transitioning minors will face new restrictions in health care education and sports Alberta s top politician declares changes but doesn t want it all politicized,TransYouth
12,Katie Notopoulos,Why dragging tech CEOs in front of Congress might mean something this time,Mark Zuckerberg s apology to parents might have been theatrics but this time there s enough rage that something might really change on social media,TransYouth
13,Sarah Guinevere Smit,Baldur s Gate s Nocturne is a landmark in trans representation but for her voice actor it s just the beginning,I bought Baldur s Gate shortly after its release as a need than a want when I was a year and half into my gender transition and hormone replacement therapy Gender transition is not just an arduous journey of self discovery but also a profound and constan,TransYouth
14,Mike Masnick,Microsoft Joins In On The Screw Over LGBTQ Kids Party By Supporting KOSA,Well this is not that much of a surprise but in the leadup to the Senate child safety dog and pony show that will be happening in a few hours Microsoft decided to twist the knife in to some of its competitors Microsoft s Vice Chair and President Brad S,TransYouth
15,PAN PYLAS Associated Press,year old killers of transgender teenager named in court ahead of sentencing,The year old convicted killers of a transgender teenager in northwest England last year have been named in court after the judge lifted a ban on reporting their identities,TransYouth
16,Suzanne Nuyen,Up First briefing Congress averts shutdown again DOJ report details Uvalde failures,Congress passed a stopgap bill to fund the government through early March and avert a shutdown The Justice Department details cascading failures in the police response to the Uvalde shooting,TransYouth
17,Ben Hunte chloe angyal,Ron DeSantis Returns to Old Job of Making Queer Floridians Lives Hell,Can he just go away now We don t want him back here one year old trans Floridian told VICE News,TransYouth
18,Jason Weisberger,Trump tells Iowans to get over school shootings,In recent comments about the shooting at Perry High School in Des Moines Iowa out on bail MAGA cult leader Donald Trump told folks we just need to get over it Trump on Iowa s deadly school shooting yesterday It s horrible but we have to get over it,TransYouth
19,Hannah Jocelyn,Transgender Dysphoria Blues Turns,In a doctor s office around I saw someone reading a Rolling Stone issue with the text EXCLUSIVE The Secret Life of a Rockstar Who Became a Woman as if rockstar and becoming a woman were mutually exclusive,TransYouth
20,Jason Weisberger,Musk chimes in support of racist tweets,Elon Pedo Guy Musk jumped into a baselessly racist thread on his social media network with a show of agreement No one will be surprised to hear about a racist thread on Xitter Someone sharing factually wrong information made false claims about students a,TransYouth
21,Christine Zhu and Eric Bazail Eimil,Ohio House overrides DeWine s veto of bill banning gender affirming care,The state Senate will convene later in January,TransYouth
22,Aimee Bailey Jai Mackenzie,How the tide turned on transgender support charity Mermaids,The charity Mermaids which offers support services to transgender young people and their caregivers in the UK was once portrayed in the media as a respected source of advice and information But by this had changed,TransYouth
23,Graham Smith,Reigns Three Kingdoms arrives on PC next week,Reigns is a kingdom management game which boils narrative choice down to its simplest form by presenting the player with a long series of binary choices they swipe left or right on From that basic interaction it spins enjoyable yarns with some strategic un,TransYouth
24,Texas Tribune,Ken Paxton Wants To Grab Transgender Youths Medical Records,By Madaleine Rubin The Texas Tribune Texas Attorney General Ken Paxton is requesting medical records of Texas youth who have received gender affirming care from a Georgia telehealth clinic marking at least the second time he s sought such records from pr,TransYouth
25,Mike Masnick,Politicians Are Using Kids As Props To Pass Terrible Harmful Legislation Don t Let Them Get Away With It,Amidst all of the attention paid to last week s Senate hearing on child safety online it remains stunning just how little time was actually spent on how to help children online Instead we saw pure theatrical nonsense with Senators insisting falsely that,TransYouth
26,The Associated Press,Alabama can enforce ban on gender affirming care for trans minors appeals court rules,Alabama can begin immediately enforcing a ban outlawing the use of puberty blockers and hormones to treat transgender people under a federal appeals court ruled granting the state s request to stay a preliminary injunction that had blocked enforcement of,TransYouth
27,Emma Copley Eisenberg,Eight Books to Take With You on a Road Trip,In these titles the open highway sparks a reaction between a character and the unknown,TransYouth
28,Diego Ramos Bechara,Variety Earns Two GLAAD Media Award Nominations for Outstanding Online Journalism and Magazine Overall Coverage,GLAAD has announced the nominees for its th annual GLAAD Media Awards with Variety earning two nods for outstanding online journalism Michaela Ja Rodriguez Calls Out The New York Times Anti Trans Coverage Advice for Trans Youth and magazine overall c,TransYouth
29,Taryn Plumb,Why LLMs are vulnerable to the butterfly effect,Researchers found that the smallest of perturbations such as adding a space at the end of a prompt can cause an LLM to change its answer,TransYouth
30,C Mandler,Trans youth sue over Louisiana s ban on gender affirming health care,The suit alleges that the ban strips parents of their right to champion their children s health choices and discriminates against them based on sex and transgender status,TransYouth
31,None,Alberta premier to discuss changes to gender policies for children youth,Alberta Premier Danielle Smith will hold a news conference today about the sweeping and controversial gender policies for children and youth she announced on social media Wednesday Smith will speak to media at p m MT in Calgary,TransYouth
32,Tori Otten,Ohio Republicans Force Through Cruel Ban on Gender Affirming Care for Minors,Ohio s Republican controlled general assembly has voted to override Governor Mike DeWine s veto of a bill that would ban gender affirming care for minors The measure will now become law a further blow to LGBTQ Ohioans The state Senate voted on Wednes,TransYouth
33,Mike Masnick,My Comments To Attorney General Rob Bonta Regarding Common Sense Media s Dangerous Protect The Kids Ballot Initiative,Last week I noted that the improperly named Common Sense Media had submitted a very problematic and dangerous California ballot initiative that aims to hold social media companies liable should any harm that happens to any child be loosely connected to social,TransYouth
34,Trudy Ring,Ohio Republicans override governor s veto to pass gender affirming care ban and sports ban,Ohio s legislature has overridden Gov Mike DeWine s veto and banned gender affirming care for transgender minors and barred trans girls and women from participating in female sports in public schools and colleges,TransYouth
35,Brynn Tannehill,The GOP Doesn t Want to Punish Trans People It Wants to Eradicate Them,In the Republican Party dropped any pretense of being willing to tolerate transgender people Almost anti transgender bills were filed in the states in and passed This was a sharp rise from previous years but also continued a trend going,TransYouth
36,Arek Sarkissian,Florida transgender residents barred from changing gender on driver s licenses,DeSantis in recent years has signed into law legislation that has received wide backlash from LGBTQ advocates,TransYouth
37,Christopher Wiggins,Maine Democrats bail on bill making state sanctuary for trans people amid far right uproar,Seemingly influenced by a significant online campaign led by Libs of TikTok s Chaya Raichik Maine legislators voted against a bill addressing gender affirming care for minors,TransYouth
38,Ty Roush Forbes Staff Ty Roush Forbes Staff https www forbes com sites tylerroush,Pope Francis Describes Surrogacy As Deplorable Calls For Ban,Francis said unborn children must be protected and not suppressed or turned into an object of trafficking,TransYouth
39,None,JSON functions stopped working with blobs in SQLite,Comments,TransYouth
40,Christopher Rhodes,Can the US ever break the two party binary,Many in the US are not excited about a Biden vs Trump rematch could there be another way,TransYouth
